Action,ALTcoin,BASEcoin,Buy amount,Altcoin price,MA_6h,MA_18h,balance ALTcoin,balance BASE_coin,datetime
No action,SOL,BUSD,0,43.12,42.51888889,43.13189815,0.0,437.68159972,2022-05-29 12:37:43.179214
Didn't buy BNB,BNB,BUSD,na,na,na,na,0.33608617,437.68159972,2022-05-29 12:37:43.179214
